,reward
1663,249
1664,251
1665,237
1666,245
1667,245
1668,241
1669,245
1670,252
1671,243
1672,247
1673,241
1674,249
1675,236
1676,251
1677,246
1678,252
1679,238
1680,248
1681,222
1682,249
1683,247
1684,239
1685,242
1686,246
1687,245
1688,232
1689,244
1690,249
1691,250
1692,252
1693,253
1694,237
1695,238
1696,241
1697,246
1698,242
1699,248
1700,240
1701,249
1702,244
1703,246
1704,242
1705,250
1706,247
1707,243
1708,246
1709,232
1710,237
1711,234
1712,240
1713,247
1714,250
1715,245
1716,242
1717,248
1718,252
1719,243
1720,238
1721,247
1722,237
1723,252
1724,248
1725,244
1726,242
1727,237
1728,248
1729,247
1730,238
1731,238
1732,252
1733,247
1734,238
1735,245
1736,238
1737,246
1738,255
1739,244
1740,237
1741,245
1742,251
1743,243
1744,249
1745,246
1746,245
1747,245
1748,234
1749,249
1750,257
1751,238
1752,238
1753,245
1754,229
1755,237
1756,242
1757,252
1758,242
1759,244
1760,246
1761,248
1762,261
1763,240
1764,239
1765,255
1766,253
1767,244
1768,241
1769,240
1770,252
1771,238
1772,242
1773,244
1774,232
1775,251
1776,257
1777,245
1778,244
1779,237
1780,236
1781,238
1782,253
1783,237
1784,256
1785,243
1786,245
1787,243
1788,248
1789,245
1790,246
1791,246
1792,243
1793,248
1794,242
1795,245
1796,246
1797,254
1798,245
1799,252
1800,252
1801,251
1802,233
1803,256
1804,251
1805,253
1806,238
1807,248
1808,241
1809,242
1810,244
1811,249
1812,250
1813,247
1814,248
1815,236
1816,249
1817,239
1818,254
1819,234
1820,245
1821,250
1822,253
1823,240
1824,228
1825,243
1826,250
1827,249
1828,250
1829,242
1830,243
1831,245
1832,244
1833,238
1834,248
1835,248
1836,237
1837,239
1838,250
1839,255
1840,248
1841,258
1842,242
1843,239
1844,239
1845,245
1846,248
1847,263
1848,255
1849,245
1850,252
1851,261
1852,241
1853,234
1854,243
1855,250
1856,236
1857,244
1858,242
1859,238
1860,245
1861,233
1862,249
1863,250
1864,246
1865,252
1866,246
1867,225
1868,248
1869,227
1870,244
1871,237
1872,242
1873,249
1874,248
1875,249
1876,239
1877,242
1878,242
1879,247
1880,245
1881,244
1882,247
1883,249
1884,246
1885,233
1886,232
1887,241
1888,242
1889,247
1890,245
1891,235
1892,262
1893,246
1894,251
1895,244
1896,250
1897,242
1898,243
1899,241
1900,245
1901,250
1902,252
1903,243
1904,243
1905,248
1906,238
1907,240
1908,245
1909,247
1910,253
1911,254
1912,243
1913,241
1914,224
1915,247
1916,259
1917,238
1918,250
1919,239
1920,246
1921,246
1922,248
1923,248
1924,245
1925,246
1926,249
1927,244
1928,229
1929,243
1930,233
1931,243
1932,240
1933,249
1934,253
1935,238
1936,237
1937,246
1938,243
1939,234
1940,243
1941,249
1942,258
1943,242
1944,237
1945,247
1946,250
1947,235
1948,255
1949,260
1950,248
1951,246
1952,243
1953,245
1954,245
1955,250
1956,236
1957,232
1958,247
1959,243
1960,250
1961,245
1962,247
1963,242
1964,246
1965,229
1966,247
1967,240
1968,239
1969,240
1970,247
1971,243
1972,248
1973,246
1974,240
1975,238
1976,248
1977,245
1978,246
1979,240
1980,250
1981,238
1982,244
1983,234
1984,241
1985,243
1986,240
1987,249
1988,241
1989,242
1990,250
1991,252
1992,252
1993,245
1994,249
1995,246
1996,244
1997,250
1998,246
1999,242
