,reward
1351,255
1352,230
1353,378
1354,155
1355,177
1356,211
1357,333
1358,145
1359,328
1360,222
1361,282
1362,131
1363,218
1364,145
1365,188
1366,254
1367,500
1368,284
1369,250
1370,200
1371,145
1372,415
1373,224
1374,246
1375,174
1376,204
1377,200
1378,205
1379,168
1380,202
1381,137
1382,267
1383,291
1384,360
1385,121
1386,196
1387,322
1388,273
1389,250
1390,184
1391,307
1392,207
1393,253
1394,151
1395,187
1396,190
1397,191
1398,500
1399,276
1400,203
1401,187
1402,500
1403,187
1404,286
1405,193
1406,436
1407,403
1408,200
1409,196
1410,273
1411,335
1412,205
1413,150
1414,265
1415,191
1416,161
1417,199
1418,179
1419,332
1420,475
1421,301
1422,274
1423,401
1424,170
1425,226
1426,171
1427,244
1428,401
1429,181
1430,196
1431,167
1432,151
1433,171
1434,225
1435,242
1436,206
1437,227
1438,152
1439,108
1440,193
1441,423
1442,413
1443,500
1444,226
1445,155
1446,313
1447,265
1448,116
1449,281
1450,359
1451,500
1452,288
1453,300
1454,500
1455,265
1456,168
1457,163
1458,169
1459,169
1460,287
1461,177
1462,191
1463,152
1464,194
1465,280
1466,335
1467,164
1468,207
1469,176
1470,225
1471,157
1472,233
1473,137
1474,140
1475,500
1476,172
1477,135
1478,77
1479,279
1480,137
1481,295
1482,330
1483,273
1484,152
1485,265
1486,273
1487,317
1488,161
1489,286
1490,132
1491,205
1492,254
1493,210
1494,174
1495,365
1496,261
1497,316
1498,274
1499,232
1500,199
1501,320
1502,150
1503,213
1504,178
1505,270
1506,260
1507,294
1508,211
1509,243
1510,174
1511,203
1512,348
1513,128
1514,363
1515,500
1516,425
1517,169
1518,141
1519,100
1520,236
1521,198
1522,301
1523,354
1524,168
1525,161
1526,143
1527,306
1528,244
1529,313
1530,184
1531,231
1532,143
1533,203
1534,314
1535,223
1536,322
1537,246
1538,261
1539,196
1540,296
1541,202
1542,343
1543,252
1544,311
1545,157
1546,466
1547,285
1548,288
1549,223
1550,282
1551,217
1552,228
1553,135
1554,282
1555,146
1556,201
1557,404
1558,232
1559,223
1560,146
1561,204
1562,196
1563,253
1564,207
1565,188
